d_codigo,d_asenta-D_mnpio
1270,"Golondrinas 1a Sección, Álvaro Obregón"
1270,"Lomas de Capula, Álvaro Obregón"
1270,"La Presa, Álvaro Obregón"
1270,"Golondrinas, Álvaro Obregón"
1270,"Golondrinas 2a Sección, Álvaro Obregón"
1275,"Villa Solidaridad, Álvaro Obregón"
1276,"El Pirul, Álvaro Obregón"
1278,"Desarrollo Urbano, Álvaro Obregón"
1279,"Lomas de Becerra, Álvaro Obregón"
1280,"La Joya, Álvaro Obregón"
1280,"Arvide, Álvaro Obregón"
1280,"El Pocito, Álvaro Obregón"
1280,"Francisco Villa, Álvaro Obregón"
1280,"Lomas de Becerra, Álvaro Obregón"
1285,"El Rodeo, Álvaro Obregón"
1289,"Reacomodo El Cuernito, Álvaro Obregón"
1290,"Presidentes, Álvaro Obregón"
1290,"Piloto Adolfo López Mateos, Álvaro Obregón"
1296,"Jalalpa Tepito 2a Ampliación, Álvaro Obregón"
1296,"Ampliación Jalalpa, Álvaro Obregón"
1296,"Jalalpa Tepito, Álvaro Obregón"
1298,"Ampliación Piloto Adolfo López Mateos, Álvaro Obregón"
1299,"2a Ampliación Presidentes, Álvaro Obregón"
1299,"1a Ampliación Presidentes, Álvaro Obregón"
1310,"San Gabriel, Álvaro Obregón"
1320,"Carlos A. Madrazo, Álvaro Obregón"
1330,"Paseo de las Lomas, Álvaro Obregón"
1340,"Bejero del Pueblo Santa Fe, Álvaro Obregón"
1376,"Santa Fe Peña Blanca, Álvaro Obregón"
1376,"Santa Fe La Loma, Álvaro Obregón"
1376,"Santa Fe Centro Ciudad, Álvaro Obregón"
1376,"Santa Fe, Álvaro Obregón"
1377,"Jalalpa El Grande, Álvaro Obregón"
1379,"Antonio Carrillo Flores, Álvaro Obregón"
1389,"Santa Fe Tlayapaca, Álvaro Obregón"
1400,"Olivar del Conde 1a Sección, Álvaro Obregón"
1400,"Preconcreto, Álvaro Obregón"
1407,"Galeana, Álvaro Obregón"
1408,"Olivar del Conde 2a Sección, Álvaro Obregón"
1410,"Palmas, Álvaro Obregón"
1410,"Barrio Norte, Álvaro Obregón"
1419,"Minas Cristo Rey, Álvaro Obregón"
1420,"Sacramento, Álvaro Obregón"
1420,"Santa María Nonoalco, Álvaro Obregón"
1430,"Colina del Sur, Álvaro Obregón"
1440,"Abeto, Álvaro Obregón"
1450,"Hogar y Redención, Álvaro Obregón"
1450,"Batallón de San Patricio, Álvaro Obregón"
1450,"Unidad Popular Emiliano Zapata, Álvaro Obregón"
1460,"Alfonso XIII, Álvaro Obregón"
1470,"Alfalfar, Álvaro Obregón"
1470,"Molino de Rosas, Álvaro Obregón"
1480,"Lomas de Plateros, Álvaro Obregón"
1490,"Torres de Mixcoac, Álvaro Obregón"
1490,"La Cascada, Álvaro Obregón"
1500,"Miguel Gaona Armenta, Álvaro Obregón"
1500,"Santa Lucía, Álvaro Obregón"
1509,"Santa Lucía Chantepec, Álvaro Obregón"
1510,"Garcimarrero, Álvaro Obregón"
1510,"Los Cedros, Álvaro Obregón"
1510,"La Araña, Álvaro Obregón"
1520,"Ampliación Los Pirules, Álvaro Obregón"
1520,"Ampliación Estado de Hidalgo, Álvaro Obregón"
1520,"El Politoco, Álvaro Obregón"
1520,"Estado de Hidalgo, Álvaro Obregón"
1520,"Piru Santa Lucía, Álvaro Obregón"
1530,"Corpus Christy, Álvaro Obregón"
1537,"Universal, Álvaro Obregón"
1538,"Tepopotla, Álvaro Obregón"
1539,"Acuilotla, Álvaro Obregón"
1539,"Cooperativa Unión Olivos, Álvaro Obregón"
1540,"Balcones de Cehuayo, Álvaro Obregón"
1540,"Cehuaya, Álvaro Obregón"
1540,"Providencia, Álvaro Obregón"
1540,"Llano Redondo, Álvaro Obregón"
1540,"Punta de Cehuaya, Álvaro Obregón"
1548,"Villa Progresista, Álvaro Obregón"
1549,"Dos Ríos del Pueblo Santa Lucía, Álvaro Obregón"
1550,"Tepeaca, Álvaro Obregón"
1550,"Ampliación Tepeaca, Álvaro Obregón"
1550,"Rinconada Las Cuevitas, Álvaro Obregón"
1560,"Canutillo, Álvaro Obregón"
1560,"Ave Real, Álvaro Obregón"
1560,"Canutillo 3a Sección, Álvaro Obregón"
1560,"Canutillo 2a Sección, Álvaro Obregón"
1566,"Hueytlale, Álvaro Obregón"
1567,"Tepeaca, Álvaro Obregón"
1569,"Reacomodo Valentín Gómez Farías, Álvaro Obregón"
1588,"Tarango, Álvaro Obregón"
1590,"El Rincón, Álvaro Obregón"
1600,"Merced Gómez, Álvaro Obregón"
1610,"Profesor J. Arturo López Martínez, Álvaro Obregón"
1610,"Colinas de Tarango, Álvaro Obregón"
1618,"Arcos Centenario, Álvaro Obregón"
1618,"Ex-Hacienda de Tarango, Álvaro Obregón"
1619,"La Martinica, Álvaro Obregón"
1619,"Rinconada de Tarango, Álvaro Obregón"
1620,"Lomas de Tarango, Álvaro Obregón"
1630,"Lomas de Puerta Grande, Álvaro Obregón"
1630,"Puerta Grande, Álvaro Obregón"
1630,"Belém de las Flores, Álvaro Obregón"
1630,"Los Juristas, Álvaro Obregón"
1640,"Herón Proal, Álvaro Obregón"
1645,"Ponciano Arriaga, Álvaro Obregón"
1650,"Ampliación Tlacuitlapa, Álvaro Obregón"
1650,"2o Reacomodo Tlacuitlapa, Álvaro Obregón"
1650,"Santa Lucía Chantepec, Álvaro Obregón"
1650,"El Ruedo, Álvaro Obregón"
1650,"La Milagrosa, Álvaro Obregón"
1650,"Palmas Axotitla, Álvaro Obregón"
1650,"Tlacuitlapa, Álvaro Obregón"
1700,"San Agustín del Pueblo Tetelpan, Álvaro Obregón"
1700,"La Joyita del Pueblo Tetelpan, Álvaro Obregón"
1700,"Ocotillos del Pueblo Tetelpan, Álvaro Obregón"
1700,"2a Del Moral del Pueblo Tetelpan, Álvaro Obregón"
1700,"Tetelpan, Álvaro Obregón"
1700,"Tecalcapa del Pueblo Tetelpan, Álvaro Obregón"
1708,"El Mirador del Pueblo Tetelpan, Álvaro Obregón"
1708,"El Encino del Pueblo Tetelpan, Álvaro Obregón"
1710,"Las Águilas, Álvaro Obregón"
1710,"Ampliación Alpes, Álvaro Obregón"
1720,"Lomas de Guadalupe, Álvaro Obregón"
1729,"Alcantarilla, Álvaro Obregón"
1730,"Lomas de las Águilas, Álvaro Obregón"
1730,"Puente Colorado, Álvaro Obregón"
1740,"La Peñita del Pueblo Tetelpan, Álvaro Obregón"
1740,"San Clemente Norte, Álvaro Obregón"
1740,"San Clemente Sur, Álvaro Obregón"
1750,"Las Águilas 1a Sección, Álvaro Obregón"
1750,"Las Águilas 3er Parque, Álvaro Obregón"
1750,"Las Águilas 2o Parque, Álvaro Obregón"
1759,"Ampliación Las Águilas, Álvaro Obregón"
1760,"Atlamaya, Álvaro Obregón"
1760,"La Herradura del Pueblo Tetelpan, Álvaro Obregón"
1760,"Flor de María, Álvaro Obregón"
1770,"San José del Olivar, Álvaro Obregón"
1770,"La Angostura, Álvaro Obregón"
1780,"Olivar de los Padres, Álvaro Obregón"
1780,"Tizampampano del Pueblo Tetelpan, Álvaro Obregón"
1788,"El Olivarito, Álvaro Obregón"
1789,"Miguel Hidalgo, Álvaro Obregón"
1790,"Lomas de San Ángel Inn, Álvaro Obregón"
1790,"Lomas de los Ángeles del Pueblo Tetelpan, Álvaro Obregón"
1800,"San Bartolo Ameyalco, Álvaro Obregón"
1807,"Rancho San Francisco Pueblo San Bartolo Ameyalco, Álvaro Obregón"
1810,"Villa Verdún, Álvaro Obregón"
1820,"Ejido San Mateo, Álvaro Obregón"
1820,"Lomas Axomiatla, Álvaro Obregón"
1830,"Santa Rosa Xochiac, Álvaro Obregón"
1840,"Torres de Potrero, Álvaro Obregón"
1849,"Rincón de la Bolsa, Álvaro Obregón"
1849,"Rancho del Carmen del Pueblo San Bartolo Ameyalco, Álvaro Obregón"
1856,"Paraje del Caballito, Álvaro Obregón"
1857,"Lomas de Chamontoya, Álvaro Obregón"
1859,"Tlacoyaque, Álvaro Obregón"
1860,"Lomas de La Era, Álvaro Obregón"
1863,"Lomas del Capulín, Álvaro Obregón"
1870,"Lomas de los Cedros, Álvaro Obregón"
1900,"Jardines del Pedregal, Álvaro Obregón"
1904,"San Jerónimo Aculco, Álvaro Obregón"
2000,"Centro de Azcapotzalco, Azcapotzalco"
2010,"Los Reyes, Azcapotzalco"
2010,"San Rafael, Azcapotzalco"
2010,"Nuevo Barrio San Rafael, Azcapotzalco"
2020,"Santo Tomás, Azcapotzalco"
2020,"San Marcos, Azcapotzalco"
2040,"Del Maestro, Azcapotzalco"
2040,"San Sebastián, Azcapotzalco"
2050,"Libertad, Azcapotzalco"
2050,"Santa María Malinalco, Azcapotzalco"
2060,"Sindicato Mexicano de Electricistas, Azcapotzalco"
2060,"Un Hogar Para Cada Trabajador, Azcapotzalco"
2070,"Del Recreo, Azcapotzalco"
2070,"Nextengo, Azcapotzalco"
2080,"Clavería, Azcapotzalco"
2080,"Sector Naval, Azcapotzalco"
2090,"San Álvaro, Azcapotzalco"
2099,"Ángel Zimbrón, Azcapotzalco"
2100,"El Rosario, Azcapotzalco"
2109,"Manuel Rivera Anaya CROC 1, Azcapotzalco"
2120,"San Martín Xochinahuac, Azcapotzalco"
2128,"Nueva El Rosario, Azcapotzalco"
2129,"Nueva España, Azcapotzalco"
2130,"Tierra Nueva, Azcapotzalco"
2140,"Santa Inés, Azcapotzalco"
2150,"Pasteros, Azcapotzalco"
2160,"Santo Domingo, Azcapotzalco"
2169,"Villas de Azcapotzalco, Azcapotzalco"
2200,"Reynosa Tamaulipas, Azcapotzalco"
2230,"Santa Bárbara, Azcapotzalco"
2240,"San Andrés, Azcapotzalco"
2240,"San Andrés, Azcapotzalco"
2250,"Santa Catarina, Azcapotzalco"
2300,"Industrial Vallejo, Azcapotzalco"
2310,"Ferrería, Azcapotzalco"
2320,"San Andrés de las Salinas, Azcapotzalco"
2330,"Huautla de las Salinas, Azcapotzalco"
2340,"Santa Cruz de las Salinas, Azcapotzalco"
2360,"Las Salinas, Azcapotzalco"
2400,"San Juan Tlihuaca, Azcapotzalco"
2410,"Prados del Rosario, Azcapotzalco"
2419,"Trabajadores de PEMEX, Azcapotzalco"
2420,"Francisco Villa, Azcapotzalco"
2420,"Ex-Hacienda El Rosario, Azcapotzalco"
2430,"Presidente Madero, Azcapotzalco"
2440,"Providencia, Azcapotzalco"
2450,"Las Trancas, Azcapotzalco"
2450,"Miguel Hidalgo, Azcapotzalco"
2459,"Tezozomoc, Azcapotzalco"
2460,"La Preciosa, Azcapotzalco"
2470,"Ampliación Petrolera, Azcapotzalco"
2479,"Lázaro Cárdenas, Azcapotzalco"
2480,"Petrolera, Azcapotzalco"
2490,"San Mateo, Azcapotzalco"
2500,"Unidad Cuitlahuac, Azcapotzalco"
2510,"Pantaco, Azcapotzalco"
2510,"El Jagüey, Azcapotzalco"
2519,"El Jagüey, Azcapotzalco"
2520,"Estación Pantaco, Azcapotzalco"
2525,"Granjas Pantaco Campamento Ferrocarrilero, Azcapotzalco"
2530,"Jardín Azpeitia, Azcapotzalco"
2540,"Hogares Ferrocarrileros, Azcapotzalco"
2600,"Pro-Hogar, Azcapotzalco"
2630,"Coltongo, Azcapotzalco"
2630,"Coltongo, Azcapotzalco"
2640,"Monte Alto, Azcapotzalco"
2650,"Trabajadores de Hierro, Azcapotzalco"
2660,"Euzkadi, Azcapotzalco"
2670,"Cosmopolita, Azcapotzalco"
2680,"Potrero del Llano, Azcapotzalco"
2700,"San Miguel Amantla, Azcapotzalco"
2710,"San Pedro Xalpa, Azcapotzalco"
2719,"Ampliación San Pedro Xalpa, Azcapotzalco"
2720,"San Bartolo Cahualtongo, Azcapotzalco"
2720,"San Antonio, Azcapotzalco"
2729,"Campo Encantado, Azcapotzalco"
2730,"San Francisco Tetecala, Azcapotzalco"
2739,"Miguel Lerdo de Tejada, Azcapotzalco"
2750,"La Providencia, Azcapotzalco"
2750,"Santiago Ahuizotla, Azcapotzalco"
2760,"Santa Lucía, Azcapotzalco"
2760,"Industrial San Antonio, Azcapotzalco"
2770,"Santa Cruz Acayucan, Azcapotzalco"
2780,"Plenitud, Azcapotzalco"
2790,"Santa Apolonia, Azcapotzalco"
2800,"Nueva Santa María, Azcapotzalco"
2810,"Ignacio Allende, Azcapotzalco"
2810,"Victoria de las Democracias, Azcapotzalco"
2830,"San Bernabé, Azcapotzalco"
2840,"Obrero Popular, Azcapotzalco"
2850,"Tlatilco, Azcapotzalco"
2860,"Tlatilco, Azcapotzalco"
2870,"San Salvador Xochimanca, Azcapotzalco"
2900,"Aguilera, Azcapotzalco"
2910,"Aldana, Azcapotzalco"
2920,"Ampliación Cosmopolita, Azcapotzalco"
2930,"Liberación, Azcapotzalco"
2940,"Porvenir, Azcapotzalco"
2950,"Del Gas, Azcapotzalco"
2960,"San Francisco Xocotitla, Azcapotzalco"
2970,"Ampliación Del Gas, Azcapotzalco"
2980,"Patrimonio Familiar, Azcapotzalco"
2980,"Arenal, Azcapotzalco"
2990,"La Raza, Azcapotzalco"
3000,"Piedad Narvarte, Benito Juárez"
3010,"Atenor Salas, Benito Juárez"
3020,"Narvarte Poniente, Benito Juárez"
3023,"Narvarte Oriente, Benito Juárez"
3100,"Del Valle Centro, Benito Juárez"
3100,"Insurgentes San Borja, Benito Juárez"
3103,"Del Valle Norte, Benito Juárez"
3104,"Del Valle Sur, Benito Juárez"
3200,"Tlacoquemécatl, Benito Juárez"
3220,"Centro Urbano Presidente Miguel Alemán, Benito Juárez"
3230,"Actipan, Benito Juárez"
3240,"Acacias, Benito Juárez"
3300,"Portales Sur, Benito Juárez"
3303,"Portales Norte, Benito Juárez"
3310,"Santa Cruz Atoyac, Benito Juárez"
3313,"Modulo Social las Flores, Benito Juárez"
3320,"Residencial Emperadores, Benito Juárez"
3330,"Xoco, Benito Juárez"
3340,"General Pedro María Anaya, Benito Juárez"
3400,"Álamos, Benito Juárez"
3410,"Postal, Benito Juárez"
3420,"Miguel Alemán, Benito Juárez"
3430,"Josefa Ortiz de Domínguez, Benito Juárez"
3440,"Niños Héroes, Benito Juárez"
3500,"Nativitas, Benito Juárez"
3510,"Moderna, Benito Juárez"
3520,"Iztaccihuatl, Benito Juárez"
3530,"Villa de Cortes, Benito Juárez"
3540,"Del Carmen, Benito Juárez"
3550,"Zacahuitzco, Benito Juárez"
3560,"Albert, Benito Juárez"
3570,"Portales Oriente, Benito Juárez"
3580,"Miravalle, Benito Juárez"
3590,"Ermita, Benito Juárez"
3600,"Vértiz Narvarte, Benito Juárez"
3610,"Américas Unidas, Benito Juárez"
3620,"Periodista, Benito Juárez"
3630,"Independencia, Benito Juárez"
3640,"Del Lago, Benito Juárez"
3650,"Letrán Valle, Benito Juárez"
3660,"San Simón Ticumac, Benito Juárez"
3700,"Santa María Nonoalco, Benito Juárez"
3710,"Ciudad de los Deportes, Benito Juárez"
3720,"Nochebuena, Benito Juárez"
3730,"San Juan, Benito Juárez"
3740,"Extremadura Insurgentes, Benito Juárez"
3800,"San Pedro de los Pinos, Benito Juárez"
3810,"Nápoles, Benito Juárez"
3820,"8 de Agosto, Benito Juárez"
3840,"Ampliación Nápoles, Benito Juárez"
3900,"San José Insurgentes, Benito Juárez"
3910,"Mixcoac, Benito Juárez"
3920,"Insurgentes Mixcoac, Benito Juárez"
3930,"Merced Gómez, Benito Juárez"
3940,"Crédito Constructor, Benito Juárez"
4000,"Villa Coyoacán, Coyoacán"
4010,"Barrio Santa Catarina, Coyoacán"
4020,"Barrio La Concepción, Coyoacán"
4030,"Barrio San Lucas, Coyoacán"
4040,"Parque San Andrés, Coyoacán"
4100,"Del Carmen, Coyoacán"
4120,"San Diego Churubusco, Coyoacán"
4120,"San Mateo, Coyoacán"
4200,"Campestre Churubusco, Coyoacán"
4210,"Churubusco Country Club, Coyoacán"
4230,"Prado Churubusco, Coyoacán"
4239,"Ermita Churubusco, Coyoacán"
4240,"Hermosillo, Coyoacán"
4250,"Paseos de Taxqueña, Coyoacán"
4260,"San Francisco Culhuacán Barrio de La Magdalena, Coyoacán"
4260,"San Francisco Culhuacán Barrio de Santa Ana, Coyoacán"
4260,"San Francisco Culhuacán Barrio de San Juan, Coyoacán"
4260,"San Francisco Culhuacán Barrio de San Francisco, Coyoacán"
4270,"Santa Martha del Sur Quetzalcoatl, Coyoacán"
4300,"Ajusco, Coyoacán"
4310,"Romero de Terreros, Coyoacán"
4318,"Barrio Oxtopulco Universidad, Coyoacán"
4319,"Torres de Chimalistac, Coyoacán"
4319,"Fortín de Chimalistac, Coyoacán"
4320,"Cuadrante de San Francisco, Coyoacán"
4320,"Pedregal de San Francisco, Coyoacán"
4320,"Romero de Terreros, Coyoacán"
4326,"Villa de San Francisco, Coyoacán"
4330,"El Rosedal, Coyoacán"
4330,"Pedregal de Coyoacán, Coyoacán"
4330,"Barrio del Niño Jesús, Coyoacán"
4330,"Pueblo de los Reyes, Coyoacán"
4340,"Copilco Universidad ISSSTE, Coyoacán"
4340,"Copilco El Bajo, Coyoacán"
4350,"Integración Latinoamericana, Coyoacán"
4350,"Villas Copilco, Coyoacán"
4350,"Copilco, Coyoacán"
4359,"Empleados Federales, Coyoacán"
4360,"Copilco El Alto, Coyoacán"
4360,"Copilco Universidad, Coyoacán"
4368,"Residencial la Cantera, Coyoacán"
4369,"Pedregal de Santo Domingo, Coyoacán"
4370,"Ciudad Jardín, Coyoacán"
4370,"Atlántida, Coyoacán"
4380,"El Rosario, Coyoacán"
4380,"Pueblo La Candelaria, Coyoacán"
4390,"Nueva Díaz Ordaz, Coyoacán"
4390,"Huayamilpas, Coyoacán"
4400,"Educación, Coyoacán"
4410,"Petrolera Taxqueña, Coyoacán"
4410,"Tlalpan FOVISSSTE, Coyoacán"
4420,"Ex-Ejido de San Francisco Culhuacán, Coyoacán"
4440,"Culhuacán CTM Sección II, Coyoacán"
4440,"Culhuacán CTM Sección I, Coyoacán"
4440,"Culhuacán CTM Sección V, Coyoacán"
4450,"El Centinela, Coyoacán"
4460,"Avante, Coyoacán"
4470,"Presidentes Ejidales 2a Sección, Coyoacán"
4470,"Presidentes Ejidales 1a Sección, Coyoacán"
4480,"Culhuacán CTM Sección X-A, Coyoacán"
4480,"Culhuacán CTM Sección III, Coyoacán"
4480,"Culhuacán CTM CROC, Coyoacán"
4480,"Culhuacán CTM Sección VI, Coyoacán"
4489,"Culhuacán CTM Sección VII, Coyoacán"
4490,"Culhuacán CTM Canal Nacional, Coyoacán"
4490,"Culhuacán CTM Sección Piloto, Coyoacán"
4500,"Jardines del Pedregal de San Ángel, Coyoacán"
4510,"Universidad Nacional Autónoma de México, Coyoacán"
4519,"La Otra Banda, Coyoacán"
4530,"Insurgentes Cuicuilco, Coyoacán"
4600,"Pedregal de Santa Úrsula, Coyoacán"
4610,"Xotepingo, Coyoacán"
4620,"Pueblo de San Pablo Tepetlapa, Coyoacán"
4630,"Adolfo Ruiz Cortínes, Coyoacán"
4640,"El Reloj, Coyoacán"
4650,"Pueblo de Santa Úrsula Coapa, Coyoacán"
4660,"Joyas del Pedregal, Coyoacán"
4660,"Pedregal de La Zorra, Coyoacán"
4700,"Pedregal de Carrasco, Coyoacán"
4710,"Olímpica, Coyoacán"
4718,"Vistas del Maurel, Coyoacán"
4719,"Pedregal del Sur, Coyoacán"
4730,"Cantil del Pedregal, Coyoacán"
4730,"Bosques de Tetlameya, Coyoacán"
4738,"Modulo Social Imán, Coyoacán"
4739,"El Caracol, Coyoacán"
4800,"Los Cedros, Coyoacán"
4800,"Alianza Popular Revolucionaria, Coyoacán"
4810,"Prados de Coyoacán, Coyoacán"
4815,"Emiliano Zapata, Coyoacán"
4830,"Los Cipreses, Coyoacán"
4840,"Ex-Ejido de San Pablo Tepetlapa, Coyoacán"
4849,"Sector Marina, Coyoacán"
4870,"Espartaco, Coyoacán"
4890,"Jardines de Coyoacán, Coyoacán"
4890,"Los Olivos, Coyoacán"
4899,"El Parque de Coyoacán, Coyoacán"
4908,"La Virgen, Coyoacán"
4909,"Culhuacán CTM Sección VIII, Coyoacán"
4909,"Culhuacán CTM Sección IX-A, Coyoacán"
4909,"Culhuacán CTM Sección IX-B, Coyoacán"
4910,"Carmen Serdán, Coyoacán"
4918,"Cafetales, Coyoacán"
4919,"Emiliano Zapata Fraccionamiento Popular, Coyoacán"
4920,"Los Girasoles, Coyoacán"
4929,"Las Campanas, Coyoacán"
4930,"Santa Cecilia, Coyoacán"
4938,"Campestre Coyoacán, Coyoacán"
4939,"Culhuacán CTM Sección X, Coyoacán"
4940,"Los Sauces, Coyoacán"
4950,"El Mirador, Coyoacán"
4960,"Villa Quietud, Coyoacán"
4970,"Haciendas de Coyoacán, Coyoacán"
4980,"Viejo Ejido de Santa Úrsula Coapa, Coyoacán"
4980,"Ex-Hacienda Coapa, Coyoacán"
4980,"Ex-Ejido de Santa Úrsula Coapa, Coyoacán"
5000,"Cuajimalpa, Cuajimalpa de Morelos"
5010,"Zentlapatl, Cuajimalpa de Morelos"
5020,"Loma del Padre, Cuajimalpa de Morelos"
5030,"San Pedro, Cuajimalpa de Morelos"
5030,"La Manzanita, Cuajimalpa de Morelos"
5039,"Ahuatenco, Cuajimalpa de Morelos"
5050,"San Pablo Chimalpa, Cuajimalpa de Morelos"
5060,"José María Castorena, Cuajimalpa de Morelos"
5100,"Lomas de Vista Hermosa, Cuajimalpa de Morelos"
5110,"Cooperativa Palo Alto, Cuajimalpa de Morelos"
5118,"Granjas Palo Alto, Cuajimalpa de Morelos"
5119,"Campestre Palo Alto, Cuajimalpa de Morelos"
5120,"Bosques de las Lomas, Cuajimalpa de Morelos"
5129,"Lomas del Chamizal, Cuajimalpa de Morelos"
5200,"San José de los Cedros, Cuajimalpa de Morelos"
5214,"Club de Golf Bosques, Cuajimalpa de Morelos"
5219,"Granjas Navidad, Cuajimalpa de Morelos"
5220,"Tepetongo, Cuajimalpa de Morelos"
5230,"El Ébano, Cuajimalpa de Morelos"
5238,"Nueva Rosita, Cuajimalpa de Morelos"
5240,"El Molino, Cuajimalpa de Morelos"
5260,"Jesús del Monte, Cuajimalpa de Morelos"
5268,"Villas de Cuajimalpa, Cuajimalpa de Morelos"
5269,"Amado Nervo, Cuajimalpa de Morelos"
5270,"Manzanastitla, Cuajimalpa de Morelos"
5280,"Adolfo López Mateos, Cuajimalpa de Morelos"
5310,"El Molinito, Cuajimalpa de Morelos"
5320,"El Yaqui, Cuajimalpa de Morelos"
5330,"Memetla, Cuajimalpa de Morelos"
5330,"Ampliación Memetla, Cuajimalpa de Morelos"
5330,"Lomas de Memetla, Cuajimalpa de Morelos"
5330,"Ampliación el Yaqui, Cuajimalpa de Morelos"
5348,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos"
5360,"Locaxco, Cuajimalpa de Morelos"
5370,"Las Tinajas, Cuajimalpa de Morelos"
5379,"Lomas de San Pedro, Cuajimalpa de Morelos"
5400,"El Tianguillo, Cuajimalpa de Morelos"
5410,"1° de Mayo, Cuajimalpa de Morelos"
5410,"San Lorenzo Acopilco, Cuajimalpa de Morelos"
5500,"Contadero, Cuajimalpa de Morelos"
5520,"La Venta, Cuajimalpa de Morelos"
5530,"Abdías García Soto, Cuajimalpa de Morelos"
5600,"San Mateo Tlaltenango, Cuajimalpa de Morelos"
5610,"Santa Rosa Xochiac, Cuajimalpa de Morelos"
5619,"Prados de la Montaña, Cuajimalpa de Morelos"
5620,"Prados de la Montaña, Cuajimalpa de Morelos"
5700,"Cruz Blanca, Cuajimalpa de Morelos"
5710,"Las Maromas, Cuajimalpa de Morelos"
5730,"Xalpa, Cuajimalpa de Morelos"
5750,"La Pila, Cuajimalpa de Morelos"
5760,"Las Lajas, Cuajimalpa de Morelos"
5780,"Agua Bendita, Cuajimalpa de Morelos"
6000,"Centro (Área 1), Cuauhtémoc"
6010,"Centro (Área 2), Cuauhtémoc"
6020,"Centro (Área 3), Cuauhtémoc"
6030,"Tabacalera, Cuauhtémoc"
6040,"Centro (Área 4), Cuauhtémoc"
6050,"Centro (Área 5), Cuauhtémoc"
6060,"Centro (Área 6), Cuauhtémoc"
